A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,09; -0,01; -1,03; 1,10; 1,16; 2,62; 28; 24,79; 36,95
-0,09; -0,01; -1,03; 0,98; 1,28; 2,50; 28; 25,07; 35,57
-0,09; -0,01; -1,03; 0,92; 1,16; 2,56; 28; 24,99; 36,78
-0,09; -0,01; -1,03; 0,79; 1,16; 2,62; 29; 25,33; 35,41
-0,09; -0,01; -1,03; 1,10; 1,10; 2,50; 28; 25,32; 35,44
-0,09; -0,01; -1,03; 1,04; 1,04; 2,56; 28; 25,04; 35,75
-0,09; -0,01; -1,03; 0,79; 1,16; 2,50; 28; 24,85; 36,18
-0,09; -0,01; -1,03; 0,85; 1,10; 2,50; 28; 24,63; 36,06
-0,09; -0,01; -1,03; 0,73; 1,22; 2,62; 28; 25,37; 36,94
-0,09; -0,01; -1,03; 1,10; 1,04; 2,50; 28; 25,21; 36,83
-0,08; -0,01; -1,03; 0,92; 1,16; 2,50; 29; 25,54; 37,46
-0,09; -0,01; -1,03; 1,04; 1,16; 2,50; 29; 25,34; 35,83
-0,09; -0,01; -1,03; 0,79; 1,16; 2,56; 28; 25,37; 35,82
-0,09; -0,01; -1,03; 0,85; 1,16; 2,50; 28; 25,33; 35,14
-0,09; -0,01; -1,03; 0,92; 1,22; 2,50; 28; 25,26; 35,77
-0,09; -0,01; -1,03; 1,10; 1,04; 2,44; 28; 25,49; 36,79
-0,09; -0,01; -1,03; 0,79; 1,16; 2,75; 28; 25,11; 35,99
-0,09; -0,01; -1,03; 0,92; 1,22; 2,62; 29; 25,44; 36,47
-0,09; -0,01; -1,03; 1,10; 1,10; 2,44; 28; 25,62; 36,61
0,70; 0,42; 0,33; 103,15; 47,49; 137,33; 33; -1,67; -6,16
-0,48; -0,94; -0,37; -252,08; -10,99; -2,81; 17; 47,80; 6,70
0,84; -0,23; 0,32; 208,19; 9,16; 68,97; 30; 32,07; -12,93
-0,06; -0,53; 1,11; -85,51; -11,90; -5,19; 31; 20,76; -14,76
0,47; 0,05; -0,91; 660,28; -55,48; 12,45; 43; 19,49; 25,59
-0,10; -1,01; -0,15; -121,22; 12,27; -7,39; 31; 42,69; 10,77
0,07; -0,66; -1,43; -478,45; 98,08; 6,41; 36; 30,74; 26,79
0,14; -0,91; -0,05; -383,06; 64,09; -3,60; 38; 36,78; 11,57
0,24; 0,43; 0,85; 785,58; -2,50; -12,08; 41; 4,21; -1,43
0,78; 0,17; -0,17; 552,49; -98,02; 86,00; 47; 23,36; 13,45
-0,23; 0,17; -0,99; -25,09; -50,29; 29,24; 17; 24,08; 42,03
-0,22; -0,00; -1,01; 0,98; -0,49; 2,87; 23; 25,46; 40,83
-0,21; -0,01; -1,01; 0,85; 0,85; 2,62; 24; 26,11; 41,19
-0,20; -0,01; -1,01; 1,22; 1,16; 2,38; 24; 25,40; 41,87
-0,19; -0,01; -1,01; 0,06; 0,49; 2,56; 24; 26,00; 40,87
-0,18; -0,01; -0,99; -0,24; 1,16; 2,32; 24; 25,71; 40,22
-0,18; -0,01; -1,02; 0,98; 0,92; 2,62; 24; 25,46; 41,05
-0,18; -0,02; -1,02; 1,16; 1,04; 2,56; 25; 25,54; 41,69
-0,18; -0,02; -1,02; 1,22; 1,34; 2,56; 25; 25,29; 40,48
-0,18; -0,02; -1,02; 0,85; 0,98; 2,56; 25; 25,66; 40,01
-0,18; -0,02; -1,02; 1,04; 1,16; 2,56; 24; 25,51; 39,50
-0,17; -0,02; -1,02; 0,79; 0,98; 2,56; 25; 25,48; 41,06
-0,17; -0,02; -1,02; 1,40; 1,22; 2,62; 25; 25,93; 40,75
-0,17; -0,02; -1,02; 0,31; 1,34; 2,50; 25; 25,22; 39,75
-0,17; -0,02; -1,02; 0,98; 1,16; 2,75; 24; 25,40; 40,73
-0,17; -0,03; -1,02; 1,10; 1,10; 2,69; 25; 25,55; 40,06
-0,17; -0,03; -1,02; 0,85; 1,28; 2,50; 25; 25,95; 40,41
-0,17; -0,02; -1,02; 0,79; 1,04; 2,62; 25; 25,39; 39,90
-0,17; -0,02; -1,01; 1,71; 2,38; 1,95; 26; 25,59; 40,38
-0,16; -0,03; -1,02; 1,46; 1,77; 2,50; 25; 25,85; 40,37
-0,16; -0,03; -1,02; 1,28; 1,34; 2,38; 25; 25,61; 40,67
-0,16; -0,03; -1,02; 0,61; 0,73; 2,81; 25; 25,62; 40,61
-0,16; -0,03; -1,02; 1,40; 1,40; 2,62; 25; 25,61; 40,28
-0,16; -0,03; -1,02; 0,79; 1,16; 2,50; 26; 25,72; 40,08
