A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,45; 0,06; -0,93; -0,43; 0,73; 3,42; 8; 33,37; 34,94
-0,45; 0,05; -0,93; 1,10; 1,71; 2,20; 9; 33,69; 35,77
-0,45; 0,04; -0,94; 1,34; 0,98; 3,11; 9; 33,95; 35,41
-0,35; -0,07; -0,98; 0,67; 1,71; 2,08; 15; 34,89; 35,46
-0,35; -0,06; -0,98; 1,04; 1,04; 2,69; 15; 34,97; 35,35
-0,34; -0,07; -0,98; 1,04; 1,16; 2,75; 16; 34,85; 34,47
-0,34; -0,06; -0,99; 1,10; 0,79; 2,44; 16; 34,46; 34,47
-0,33; -0,07; -0,98; 1,10; 1,10; 2,81; 15; 34,58; 36,06
-0,34; -0,07; -0,98; 1,16; 1,22; 2,62; 16; 34,86; 35,40
-0,33; -0,07; -0,98; 0,92; 1,16; 2,56; 16; 35,12; 34,89
-0,33; -0,07; -0,98; 0,98; 1,28; 2,44; 15; 35,08; 35,07
-0,33; -0,07; -0,98; 1,10; 1,28; 2,75; 16; 34,89; 35,75
-0,33; -0,07; -0,98; 0,92; 1,22; 2,75; 15; 34,62; 35,23
-0,33; -0,06; -0,98; 0,92; 1,28; 2,69; 16; 34,73; 34,52
-0,33; -0,06; -0,98; 0,98; 1,22; 2,69; 16; 34,68; 35,77
-0,33; -0,06; -0,98; 1,10; 1,16; 2,62; 15; 34,74; 35,35
-0,33; -0,06; -0,98; 0,92; 1,22; 2,62; 16; 35,13; 35,64
-0,33; -0,06; -0,98; 1,10; 1,22; 2,75; 16; 34,44; 34,58
-0,33; -0,06; -0,98; 1,10; 1,28; 2,87; 16; 34,25; 34,97
-0,33; -0,06; -0,98; 1,04; 1,22; 2,56; 16; 34,40; 35,74
-0,33; -0,06; -0,99; 1,77; 1,65; 2,26; 16; 34,95; 35,78
-0,33; -0,06; -0,98; -0,85; 0,24; 3,36; 16; 34,68; 36,55
-0,33; -0,06; -0,98; 1,34; 1,28; 2,56; 16; 34,55; 33,97
-0,32; -0,07; -0,98; 0,79; 1,04; 2,69; 16; 34,85; 35,35
-0,32; -0,07; -0,98; 0,98; 1,22; 2,75; 16; 34,36; 35,13
-0,32; -0,07; -0,98; 1,10; 1,28; 2,62; 16; 34,45; 35,73
-0,32; -0,07; -0,98; 0,73; 1,10; 2,62; 16; 34,50; 35,47
-0,32; -0,07; -0,98; 0,73; 1,10; 2,69; 16; 34,02; 34,35
-0,32; -0,07; -0,99; 1,16; 1,10; 2,69; 17; 34,81; 34,45
-0,32; -0,08; -0,98; 0,92; 1,22; 2,62; 16; 34,47; 35,39
-0,32; -0,08; -0,99; 0,67; 1,04; 2,75; 16; 35,05; 35,67
-0,31; -0,08; -0,99; 0,73; 1,04; 2,87; 17; 35,23; 35,02
-0,31; -0,08; -0,99; 1,04; 1,40; 2,62; 17; 35,24; 35,19
-0,31; -0,08; -0,99; 1,16; 1,16; 2,62; 16; 34,91; 36,24
-0,31; -0,08; -0,99; 1,04; 0,98; 2,87; 17; 34,66; 35,67
-0,31; -0,09; -0,99; 0,73; 0,98; 2,75; 17; 34,91; 35,46
-0,31; -0,09; -0,99; 1,04; 1,28; 2,56; 17; 35,05; 35,91
-0,31; -0,09; -0,99; 1,16; 1,34; 2,69; 18; 34,85; 36,30
-0,30; -0,09; -0,99; 0,61; 0,98; 2,62; 17; 34,91; 35,03
-0,30; -0,09; -0,99; 0,92; 0,85; 2,62; 16; 35,03; 34,89
-0,30; -0,09; -0,99; 0,98; 1,22; 2,81; 17; 34,90; 35,16
-0,30; -0,10; -0,99; 0,92; 1,22; 2,69; 17; 35,42; 34,72
-0,30; -0,10; -0,99; 0,79; 1,28; 2,81; 17; 34,84; 35,23
-0,30; -0,10; -0,99; 0,12; 1,22; 2,56; 18; 34,86; 34,69
-0,30; -0,10; -0,99; 0,73; 1,04; 2,75; 17; 35,62; 34,11
-0,30; -0,10; -0,99; 1,28; 1,22; 2,62; 18; 35,60; 34,39
-0,30; -0,10; -0,99; 1,28; 1,34; 2,62; 17; 35,67; 34,45
-0,30; -0,11; -0,99; 1,28; 1,28; 2,75; 17; 35,14; 35,35
-0,29; -0,11; -0,99; 0,92; 1,10; 2,69; 17; 35,61; 34,79
-0,29; -0,11; -0,99; 0,92; 1,16; 2,62; 17; 35,36; 34,30
-0,29; -0,11; -0,99; 0,98; 1,28; 2,50; 17; 35,58; 34,36
-0,29; -0,11; -0,99; 0,98; 1,04; 2,75; 17; 35,22; 34,31
-0,29; -0,11; -0,99; 1,16; 1,22; 2,50; 17; 35,28; 34,31
-0,29; -0,11; -0,99; 0,79; 0,98; 2,81; 17; 35,61; 33,97
-0,29; -0,11; -0,99; 0,55; 0,92; 2,69; 17; 35,49; 34,02
