A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,10; -0,15; -1,02; 1,28; 1,40; 2,81; 27; 26,14; 42,03
-0,10; -0,15; -1,02; 1,22; 1,16; 2,56; 26; 25,78; 42,04
-0,10; -0,15; -1,02; 0,67; 0,98; 2,62; 27; 25,76; 43,02
-0,10; -0,15; -1,02; 1,10; 1,46; 2,44; 27; 25,93; 42,46
-0,10; -0,15; -1,02; 1,10; 1,22; 2,50; 26; 25,90; 43,47
-0,10; -0,15; -1,02; 0,85; 1,04; 2,62; 27; 25,71; 43,04
-0,10; -0,15; -1,02; 0,85; 1,16; 2,56; 27; 26,01; 41,85
-0,10; -0,15; -1,02; 1,16; 1,22; 2,56; 27; 25,45; 42,35
-0,10; -0,15; -1,02; 0,73; 1,04; 2,56; 27; 26,06; 42,29
-0,10; -0,15; -1,02; 0,92; 1,22; 2,44; 27; 26,17; 41,72
-0,09; -0,85; -1,16; 92,22; -136,72; 13,92; 25; 43,18; 27,12
0,74; -0,24; -0,32; 91,31; -128,85; -19,65; 41; 16,99; 29,63
0,36; -0,53; 0,60; -202,58; 58,90; 49,44; 41; 19,25; -6,10
0,91; 0,05; -0,04; 478,45; -49,26; 0,18; 44; 26,29; 21,97
-0,82; -0,55; -0,66; -230,41; 121,03; 71,35; 15; 36,61; 32,75
0,99; 0,08; -0,22; 96,01; -70,43; 13,31; 45; 6,65; -0,95
-0,61; -0,41; -0,72; 52,67; 123,17; -67,26; 12; 46,11; 20,37
0,09; -0,49; -1,02; 159,61; -105,83; -9,52; 34; 25,55; 33,65
-0,07; -0,27; 1,30; -65,37; 82,09; -175,72; 14; 23,90; -20,95
-0,49; -0,17; -0,38; 49,32; -51,64; 70,92; 10; 23,62; 38,48
-0,06; -1,01; -1,15; 61,46; -100,65; -382,20; 34; 12,08; 35,25
-0,72; 0,23; 0,95; 115,11; 143,37; 425,66; 18; 45,63; -1,45
-2,59; 0,02; -0,16; 86,43; -40,16; 799,13; 42; 32,80; 8,87
-1,37; -1,24; -0,31; -196,17; -374,27; 63,35; 13; 46,77; 15,09
0,20; -0,79; -0,78; -151,37; 23,38; 153,81; 31; 37,27; 24,35
0,73; -0,44; -0,54; -500,00; 156,07; -45,65; 36; 39,36; 17,22
0,12; -1,34; 1,56; -1017,52; 243,77; -427,00; 42; 23,11; -4,21
-0,20; 0,06; 0,71; 112,12; -31,68; -74,83; 28; -5,49; -4,49
-0,29; -0,35; 1,08; 785,77; -0,31; 170,35; 23; 26,76; -15,75
0,52; -0,75; 0,38; -364,32; -21,42; -93,75; 16; 48,13; 10,44
0,62; 0,73; -0,32; 183,47; -7,26; 174,44; 41; -1,37; 18,74
0,30; -0,31; 0,87; -93,93; 188,90; 99,49; 24; 0,61; -12,30
0,56; 1,06; 0,39; -307,25; -6,65; -196,66; 17; -8,28; -4,22
-0,46; 0,52; 0,81; 388,98; 22,03; 52,61; 8; -10,71; 1,18
0,64; -0,64; 0,39; -402,89; 35,22; -79,28; 23; 41,24; 27,27
0,14; 0,14; 0,63; -136,11; -169,92; -32,23; 40; 3,36; -3,91
0,14; -0,05; 1,15; 322,81; 217,10; 56,52; 31; 3,12; -12,00
-0,21; -0,42; -0,85; -72,27; -28,50; 225,46; 0; 32,54; 33,95
-0,75; -0,29; -1,42; 49,38; 3,48; -35,34; 7; 36,11; 37,68
-0,34; -0,23; -0,95; 0,85; -0,61; 3,60; 17; 34,68; 38,65
-0,31; -0,24; -0,96; 1,04; 0,12; 3,48; 18; 34,42; 38,50
-0,31; -0,23; -0,96; 1,34; 0,92; 2,75; 18; 34,58; 37,73
-0,30; -0,23; -0,97; 0,85; 0,79; 2,75; 19; 34,20; 37,92
