A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,21; -0,20; -1,00; 1,10; 1,22; 2,56; 19; 37,10; 30,92
-0,22; -0,20; -1,00; 1,46; 1,22; 2,69; 20; 37,41; 32,51
-0,21; -0,20; -0,99; 0,73; 1,16; 2,99; 20; 36,95; 32,93
-0,21; -0,20; -0,99; -0,85; 1,16; 2,93; 20; 37,00; 32,90
-0,21; -0,20; -0,99; 0,43; 1,22; 2,75; 20; 36,67; 33,39
-0,21; -0,20; -1,00; 1,04; 1,10; 2,69; 20; 36,93; 33,13
-0,21; -0,20; -0,99; 1,40; 1,53; 2,56; 19; 37,12; 33,74
-0,21; -0,21; -0,99; 0,67; 1,28; 2,81; 19; 37,01; 32,39
-0,21; -0,21; -1,00; 1,10; 1,10; 2,81; 20; 36,78; 32,92
-0,21; -0,20; -1,00; 2,44; 1,95; 2,14; 19; 37,10; 33,54
-0,21; -0,20; -0,99; 1,04; 1,34; 2,62; 19; 36,98; 33,72
-0,21; -0,21; -0,99; 1,04; 1,34; 2,62; 19; 36,69; 33,75
-0,21; -0,21; -0,99; 1,10; 1,34; 2,62; 20; 36,63; 33,07
-0,21; -0,20; -1,00; 2,14; 1,40; 2,62; 20; 37,18; 32,32
-0,21; -0,21; -1,00; 1,04; 1,22; 2,75; 20; 36,90; 33,24
-0,21; -0,21; -1,00; 0,92; 1,22; 2,69; 20; 37,46; 32,53
-0,21; -0,21; -0,99; 0,85; 1,10; 2,62; 20; 37,43; 32,23
-0,21; -0,21; -1,00; 0,92; 1,22; 2,69; 20; 37,56; 32,35
-0,21; -0,21; -0,99; 0,85; 1,22; 2,81; 20; 37,43; 32,36
-0,21; -0,21; -1,00; 0,98; 1,22; 2,75; 19; 36,76; 33,00
-0,21; -0,21; -1,00; 1,04; 1,22; 2,81; 20; 36,80; 33,11
-0,21; -0,21; -0,99; 0,85; 1,16; 2,69; 20; 37,49; 33,24
-0,21; -0,21; -1,00; 0,67; 1,16; 2,50; 20; 37,18; 32,86
-0,21; -0,21; -1,00; 0,79; 1,22; 2,69; 20; 36,78; 32,81
-0,20; -0,21; -0,99; 0,98; 1,04; 2,75; 20; 37,48; 32,86
