A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,17; -0,26; -1,00; 0,98; 0,12; 3,30; 21; 38,51; 31,65
-0,16; -0,26; -0,99; 0,98; 1,40; 2,44; 21; 38,00; 30,86
-0,16; -0,26; -0,99; 0,98; 1,22; 2,87; 21; 38,15; 29,98
-0,16; -0,26; -0,99; 1,16; 1,22; 2,81; 21; 38,42; 31,53
-0,16; -0,26; -0,99; 0,92; 1,10; 2,62; 21; 37,99; 30,66
-0,16; -0,26; -0,99; 0,92; 1,16; 2,56; 21; 38,50; 30,92
-0,16; -0,26; -0,99; 0,85; 1,10; 2,50; 21; 37,95; 31,43
-0,16; -0,26; -0,99; 0,92; 1,10; 2,56; 21; 37,93; 31,47
-0,17; -0,25; -0,99; 1,22; 1,65; 2,20; 21; 37,70; 32,19
-0,16; -0,25; -0,99; 0,92; 1,04; 2,75; 21; 37,74; 31,70
-0,16; -0,25; -0,99; 0,85; 1,28; 2,56; 21; 38,39; 30,55
-0,16; -0,26; -0,99; 0,92; 1,04; 2,75; 22; 37,81; 31,71
-0,16; -0,26; -0,99; 0,85; 1,22; 2,56; 21; 38,18; 31,87
