A_X; A_Y; A_Z; G_X; G_Y; G_Z; B_X; B_Y; B_Z
-0,10; -0,14; -1,02; 0,55; 1,10; 2,62; 26; 25,73; 41,65
-0,10; -0,14; -1,02; 0,61; 1,04; 2,50; 27; 25,50; 42,14
-0,10; -0,14; -1,02; 0,79; 0,85; 2,44; 26; 25,92; 42,16
-0,10; -0,14; -1,02; 2,38; 1,10; 2,44; 27; 25,42; 42,18
-0,10; -0,15; -1,02; 0,24; 0,92; 2,50; 27; 25,93; 42,86
-0,10; -0,14; -1,02; 1,77; 0,92; 2,62; 27; 26,15; 41,92
-0,10; -0,14; -1,02; 1,04; 1,28; 2,56; 27; 25,68; 42,49
-0,10; -0,15; -1,02; 1,46; 1,34; 2,56; 27; 26,05; 41,33
-0,10; -0,14; -1,02; 1,04; 1,28; 2,50; 27; 26,03; 42,33
-0,10; -0,15; -1,02; 1,53; 1,34; 2,62; 27; 26,03; 42,70
-0,10; -0,14; -1,02; 0,73; 1,16; 2,62; 26; 25,66; 42,59
-0,10; -0,14; -1,02; 1,83; 1,34; 2,62; 27; 25,65; 42,00
-0,10; -0,15; -1,02; 0,67; 1,10; 2,50; 27; 25,85; 43,31
-0,10; -0,15; -1,02; 0,92; 1,16; 2,62; 27; 26,18; 42,68
-0,10; -0,15; -1,02; 0,79; 1,22; 2,62; 26; 25,83; 42,14
-0,10; -0,15; -1,02; 1,04; 1,22; 2,56; 26; 26,04; 43,14
-0,10; -0,15; -1,02; 1,22; 1,16; 2,50; 27; 25,93; 41,91
